epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6437,1.59387,2.67582,1.64996,0.48058,0.47466,0.48317,0.18249,1.27168,20.8532,1.46563,0.000475337,0.000475337,0.000475337
2,175.06,1.67667,2.11088,1.73895,0.65968,0.30658,0.33535,0.14181,1.55464,7.81539,1.91133,0.000920265,0.000920265,0.000920265
3,250.384,1.66826,1.9725,1.73171,0.58244,0.61936,0.61435,0.22261,1.20509,6.32833,1.38855,0.00133376,0.00133376,0.00133376
4,325.345,1.64222,1.87565,1.70707,0.55847,0.59104,0.61744,0.27335,1.13944,4.74515,1.30684,0.00128753,0.00128753,0.00128753
5,399.929,1.57768,1.80214,1.66596,0.649,0.5975,0.66909,0.31448,1.08194,1.49902,1.25757,0.00124037,0.00124037,0.00124037
6,479.298,1.55398,1.72481,1.6458,0.72874,0.67917,0.74731,0.38542,1.02645,2.61807,1.2188,0.00119322,0.00119322,0.00119322
7,552.499,1.52619,1.65926,1.62736,0.70595,0.68094,0.72593,0.38463,0.98543,2.38052,1.18039,0.00114606,0.00114606,0.00114606
8,623.833,1.5006,1.61115,1.61192,0.77863,0.76514,0.815,0.44605,0.92159,3.25826,1.11033,0.0010989,0.0010989,0.0010989
9,694.863,1.46637,1.59076,1.58725,0.72015,0.75981,0.79125,0.40096,0.99438,4.64997,1.16788,0.00105174,0.00105174,0.00105174
10,764.872,1.437,1.53723,1.57366,0.80351,0.72076,0.81912,0.45952,0.97584,1.17071,1.13326,0.00100459,0.00100459,0.00100459
11,835.178,1.42517,1.49348,1.56517,0.82764,0.71413,0.81288,0.44605,1.01758,1.24957,1.19048,0.00095743,0.00095743,0.00095743
12,905.996,1.41024,1.45238,1.55101,0.7724,0.7631,0.79665,0.45099,1.04946,5.80708,1.21549,0.000910273,0.000910273,0.000910273
13,976.441,1.39833,1.42594,1.53932,0.86781,0.78078,0.87177,0.50959,0.86991,3.19655,1.04652,0.000863116,0.000863116,0.000863116
14,1046.67,1.38133,1.39531,1.5208,0.82924,0.78871,0.8538,0.4887,0.92186,2.56462,1.11858,0.000815959,0.000815959,0.000815959
15,1117.37,1.36933,1.39205,1.51955,0.84553,0.78697,0.85908,0.51627,0.90537,1.82375,1.10234,0.000768802,0.000768802,0.000768802
16,1187.6,1.35394,1.34434,1.49655,0.90321,0.81524,0.89322,0.54385,0.95719,1.20896,1.13339,0.000721645,0.000721645,0.000721645
17,1258.23,1.34241,1.31926,1.49078,0.88569,0.86583,0.90529,0.57379,0.86312,1.02491,1.03348,0.000674488,0.000674488,0.000674488
18,1326.7,1.31944,1.30037,1.47781,0.90605,0.81964,0.90832,0.56719,0.88245,0.68861,1.05512,0.000627331,0.000627331,0.000627331
19,1394,1.30542,1.28225,1.46201,0.87456,0.8538,0.90285,0.57628,0.88742,1.27547,1.09329,0.000580174,0.000580174,0.000580174
20,1461.9,1.30258,1.25978,1.46464,0.8996,0.84185,0.91911,0.59309,0.84781,1.18859,1.03551,0.000533017,0.000533017,0.000533017
21,1527.3,1.19987,0.94137,1.41884,0.89175,0.82819,0.91923,0.59193,0.83643,1.6196,1.03206,0.00048586,0.00048586,0.00048586
22,1591.57,1.17745,0.88952,1.40903,0.88589,0.85622,0.92095,0.60888,0.80459,0.74995,1.00156,0.000438703,0.000438703,0.000438703
23,1656.53,1.14227,0.83218,1.38234,0.90126,0.87833,0.93025,0.62081,0.78099,0.94416,1.00089,0.000391546,0.000391546,0.000391546
24,1723,1.14243,0.81591,1.38099,0.91128,0.87776,0.93877,0.61423,0.80487,0.88257,1.01672,0.000344389,0.000344389,0.000344389
25,1788.28,1.09803,0.77184,1.34847,0.90993,0.89926,0.94508,0.63018,0.78782,0.96106,0.98822,0.000297232,0.000297232,0.000297232
26,1853.41,1.09315,0.7618,1.34188,0.9132,0.88722,0.94503,0.63231,0.77107,1.43074,0.97398,0.000250075,0.000250075,0.000250075
27,1918.28,1.07752,0.7509,1.33886,0.91956,0.88526,0.94301,0.65196,0.73136,0.86831,0.94214,0.000202918,0.000202918,0.000202918
28,1983.44,1.05393,0.72127,1.31009,0.9256,0.88839,0.94872,0.65183,0.76031,0.64589,0.96433,0.000155761,0.000155761,0.000155761
29,2048.36,1.04054,0.71181,1.31099,0.92371,0.89968,0.95177,0.64765,0.76132,0.75951,0.95714,0.000108604,0.000108604,0.000108604
30,2112.46,1.02879,0.68292,1.30343,0.93858,0.9004,0.95359,0.66004,0.7445,0.72293,0.94018,6.1447e-05,6.1447e-05,6.1447e-05
